"ensembl_gene_id","external_gene_name","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"100272838",NA,660.304129245551,0.00257615460631009,0.858391084701414,0.00300114324603708,0.997605437733811,0.999937202399348
"AKHSDH1",NA,418.566043799947,0.441140992068165,0.582089988814782,0.757857033353883,0.448536574764452,0.999937202399348
"AMADH1A",NA,825.182609055036,0.316505063803565,0.69009400371943,0.458640507086982,0.646492342999943,0.999937202399348
"an1",NA,24.4502227758738,-1.27501161194296,1.65942720782776,-0.768344405785645,0.442282599605274,0.999937202399348
"AO1",NA,378.165004236993,-0.692392722983942,0.698045924997546,-0.991901389563124,0.32124563121189,0.999937202399348
"AO2",NA,1114.57115729223,-2.92188584661951,0.762059533117222,-3.83419630572361,0.000125975507621114,0.0170845255303742
"aoc1",NA,35.9941544493528,-1.26739577681343,1.06736565801544,-1.18740542877302,0.235067739679248,0.999937202399348
"aoc2",NA,427.915253817648,0.38412506437349,0.595816742363059,0.64470337448058,0.519119429106542,0.999937202399348
"aos1",NA,3397.87429273346,-0.986891805778018,0.794152835983669,-1.24269757792354,0.213979296805443,0.999937202399348
"aos3",NA,60.1940696875199,-1.98222236896846,1.51984180626746,-1.30422940124048,0.192155378146959,0.999937202399348
"AP-17",NA,333.941053543366,-0.0174440171114158,0.703938462369588,-0.0247805995039623,0.980229965659948,0.999937202399348
"bk4",NA,163.090524604825,0.62160274884107,0.894816069365739,0.694670972193954,0.487261523451267,0.999937202399348
"bz15",NA,18.8006787916853,1.05031136736761,1.31587311961274,0.798185897798959,0.42476261981796,0.999937202399348
"bZIP45",NA,372.051044361388,0.568029397416059,0.633037221418388,0.897308054245734,0.369554559865275,0.999937202399348
"CCOAOMT2",NA,1159.30561399597,-1.89796127174565,0.871527732123636,-2.1777405374364,0.0294253590866764,0.583884042342115
"CNR1",NA,79.0498573289972,-1.76849602049576,0.742987995783482,-2.38024844349051,0.0173009691365858,0.441164353121181
"CNR10",NA,834.785428348757,-1.44221620911058,0.593354810485184,-2.43061349402609,0.0150732844171199,0.414004310640196
"CNR13",NA,479.731333590871,-0.252021084180043,0.785590366736787,-0.320804702871926,0.748358395247346,0.999937202399348
"CNR2",NA,496.500076461679,-2.26109052868314,0.910771462086862,-2.48261020772684,0.0130423716666568,0.38145354055832
"CNR5",NA,63.6889648191852,-0.670521450718819,0.858698711821698,-0.780857641321404,0.434886227737407,0.999937202399348
"CNR6",NA,223.914792859913,1.0304977380305,0.907639276229033,1.13536045102841,0.25622432323289,0.999937202399348
"CNR7",NA,412.0245869534,-5.08042134548141,0.805304775415883,-6.3086939262936,2.81399983632403e-10,3.52445203029478e-07
"COAC1",NA,772.328548021452,-0.308728119339733,0.626121358438707,-0.493080319300361,0.621955836283241,0.999937202399348
"COAC2",NA,864.827626344639,0.281518408726824,0.554628690968311,0.507579959910348,0.611747947621537,0.999937202399348
"ct2",NA,108.945792433703,0.390216892737803,0.795178470023442,0.49072869481275,0.62361834844908,0.999937202399348
"CYP92C6",NA,141.484312096847,0.901505550341393,0.893039059438053,1.0094805381846,0.312744230625958,0.999937202399348
"DAO",NA,1875.25442920006,0.890893884262848,0.662934194480713,1.34386473300069,0.178992132113845,0.999937202399348
"dhar1",NA,1775.48235208747,-0.359922761559091,0.582044558724091,-0.618376645162843,0.536327089243921,0.999937202399348
"dhar2",NA,34.9905092744395,-0.217471533336345,0.956537402061075,-0.227352880156859,0.820149357073663,0.999937202399348
"dhar3",NA,1536.30562890924,0.204208979274083,0.648328339858597,0.314977715332669,0.752778573902005,0.999937202399348
