"","c1","c2","m1","m2"
"LOC100381968",4927,2996,2250,711
"LOC100273445",2834,9227,8340,3550
"LOC100304120",273,211,373,455
"LOC100280955",83,23,53,42
"LOC100383060",0,0,0,0
"LOC100285852",259,110,217,284
"LOC100285278",174,505,428,9
"LOC103631242",109,70,166,170
"LOC103631259",27,22,15,33
"TRNAN-GUU_1",0,0,0,0
"LOC100280898",497,367,298,402
"LOC103644392",0,0,0,0
"LOC100284305",2844,1276,1827,2819
"LOC109942738",172,83,113,126
"LOC100383093",364,221,284,338
"LOC100502361",852,992,874,482
"LOC103631359",0,0,4,0
"LOC103644394",0,0,0,0
"LOC103631379",15,13,44,9
"LOC100276168",94,119,212,186
"LOC100382167",117,61,95,103
"LOC100383301",2756,3640,4863,2072
"LOC107546779",726,1516,1802,1276
"LOC100192077",565,976,443,81
"LOC100285254",537,157,215,632
"LOC100280817",198,97,176,63
"LOC542672",3288,3335,3109,854
"LOC100194408",1464,1172,1363,1333
"LOC542290",28220,65807,48716,33857
"MIR528a",0,28,4,21
"LOC111590720",0,0,0,0
"LOC100216832",12,0,9,26
"LOC103631462",0,0,0,0
"LOC100275291",0,0,0,0
"LOC100283425",1263,667,766,997
"LOC103631480",5,5,1,0
"LOC111590767",0,0,0,0
"LOC103631488",0,0,0,0
"LOC103631507",0,0,0,0
"LOC103644399",0,0,0,0
"LOC100281397",42,22,25,18
"LOC100280590",0,4,6,0
"LOC103631568",0,1,0,0
"LOC100280768",1390,927,1280,688
"LOC100194194",734,575,748,1131
"LOC103631579",32,46,49,19
"LOC103631588",93,57,79,165
"LOC103631596",338,188,236,188
"LOC111590676",0,0,0,0
"LOC111590677",0,0,0,0
"LOC103631613",39,19,20,37
"LOC100274300",189,121,161,98
"LOC100278991",1080,751,897,1222
"LOC103631623",0,1,0,0
"LOC542230",10037,6712,10637,5993
"LOC103631647",41,2,29,3
"LOC100383383",621,556,350,703
"LOC100502264",121,65,70,99
"LOC103631655",0,0,105,9
"LOC100277112",475,234,197,440
