"","c1","c2","m1","m2"
"LOC100282904",371,154,189,571
"LOC100277055",287,53,167,486
"LOC103643999",0,1,5,0
"LOC100277883",6,11,15,0
"LOC100502172",530,323,355,944
"LOC100194302",795,417,347,1293
"LOC100286284",0,0,0,0
"LOC103644002",0,0,0,0
"LOC100272699",1109,339,675,1031
"LOC103644003",0,0,0,0
"LOC100383052",2475,349,2195,6012
"LOC100191229",461,378,343,557
"LOC103644004",1032,1465,2297,5397
"LOC100275436",2,0,103,3142
"LOC100381954",64,25,83,61
"LOC100276954",152,210,112,191
"LOC103644006",251,214,167,337
"LOC100279262",209,76,227,246
"LOC103644007",9,8,3,6
"LOC100191390",711,1598,2432,1904
"LOC103644008",0,0,0,5
"LOC541703",2730,4811,6812,5135
"LOC542181",1162,599,562,877
"LOC109943548",0,1,0,0
"LOC100276386",170,106,119,245
"LOC100282044",65,188,262,262
"LOC103644010",0,0,0,0
"LOC100502086",34,168,310,149
"LOC103644011",390,88,247,461
"LOC100275336",0,0,0,0
"LOC100275906",0,0,0,0
"LOC100285281",77,33,9,281
"LOC100274436",340,153,230,634
"LOC103644012",0,31,5,26
"LOC100304348",943,1351,1399,787
"LOC100283635",30,137,95,104
"LOC542031",1014,431,505,1001
"LOC100277032",9,4,2,18
"LOC100274792",718,499,730,1673
"LOC113839499",698,222,570,690
"LOC542140",7933,844,1075,2184
"LOC100274131",721,414,578,675
"LOC100283149",186,535,533,1203
"LOC103644014",1853,971,2176,3282
"LOC100216822",576,490,809,527
"LOC100278271",301,118,230,401
"LOC103644015",0,0,0,0
"LOC111590571",0,0,0,0
"LOC103644016",1,1,0,0
"LOC103644017",322,90,136,443
"LOC542041",0,3,0,0
"LOC109943549",4,0,2,0
"LOC109943797",0,0,0,0
"LOC542038",0,0,0,0
"LOC109943550",118,52,120,87
"LOC541793",773,2350,2057,782
"LOC100284570",609,530,592,470
"LOC103644019",0,0,0,0
"LOC100192488",80,8,30,53
"LOC103644020",920,514,760,860
"LOC109943798",0,0,0,0
"LOC103644021",0,0,0,0
"LOC109943799",0,0,0,0
"LOC103644022",0,0,0,0
"LOC103644023",0,0,0,0
"LOC109943800",0,0,0,0
"LOC100384557",0,0,0,0
"LOC100191912",769,307,832,821
"LOC111590702",0,0,0,0
"LOC100284241",37,72,34,9
"LOC100216647",335,116,72,351
"LOC100280603",698,238,208,1149
"LOC100382376",153,107,155,526
"LOC100383681",0,11,21,4
"LOC100274523",74,37,15,196
"LOC100384802",24,58,68,314
"LOC100284126",0,0,2,0
"LOC111590716",0,0,0,0
"LOC100279549",2004,1711,1056,1321
"LOC100191170",396,362,268,349
"LOC103645617",0,0,0,0
"pho1",69,207,119,163
"LOC103645618",0,0,0,0
"LOC100272382",1588,419,541,490
"LOC100284140",23,6,18,40
"LOC103644026",0,9,6,2
"LOC103644025",0,0,0,0
"LOC100194005",665,317,558,763
"LOC100283863",93,56,87,62
"LOC100501372",1,29,20,33
"LOC103645621",0,0,0,0
"LOC100275577",261,45,18,62
"LOC109942359",0,0,0,0
"LOC111590614",0,0,0,0
"LOC103645622",0,0,0,0
"LOC103644029",0,0,0,0
"LOC100281382",349,219,371,488
"LOC100274252",20,0,0,0
"LOC103644030",20,6,48,142
"LOC103644032",0,0,0,10
"LOC103644033",0,0,0,0
"LOC100191791",0,0,0,0
"LOC103644035",32,52,55,20
"LOC118476177",29,64,76,16
"LOC100382629",28,267,69,104
"LOC103644036",1056,1476,1789,1390
"LOC100273287",1119,606,853,1094
"LOC103644037",9957,6567,4699,1880
"LOC100527940",0,1,14,28
"LOC100285096",93,59,124,47
"TRNAK-UUU_5",0,0,0,0
"LOC103644039",1,0,0,0
"LOC103645624",0,0,0,0
"LOC103644041",217,132,257,396
"LOC103644042",0,0,0,0
"LOC103645626",0,0,1,0
"TRNAD-GUC_1",0,0,0,0
"LOC100283657",314,106,39,176
"LOC542460",2018,1091,1175,1809
"LOC103644043",0,0,0,0
"LOC103644044",0,0,0,0
"LOC100382459",1026,151,79,166
"LOC103644045",2732,2210,1339,1185
"LOC100383983",79,60,79,108
"LOC109943551",0,0,0,0
"LOC103644047",0,0,14,15
"LOC100193188",435,258,443,400
"LOC100276798",461,164,159,475
"LOC118476178",3,12,22,100
"LOC100384002",42,53,92,193
"LOC100284288",9315,7400,4656,3389
"LOC109943802",0,0,0,0
"LOC103645629",0,0,0,0
"LOC111590741",0,0,0,0
"LOC109943552",0,0,0,0
"LOC109943553",0,0,0,0
"LOC103644055",2674,1743,2095,1829
"LOC103644057",0,0,0,0
"LOC100279271",1005,624,584,1065
"LOC100281818",327,93,234,549
"LOC100282724",3912,2798,2072,3080
"LOC100283283",1511,940,919,1690
"LOC100277644",2,0,0,0
"LOC100284230",0,0,0,0
"LOC103644061",0,1,1,0
"LOC100284377",84,82,86,114
"LOC103644058",0,0,5,0
"LOC111590572",75,15,34,100
"LOC111590615",0,0,0,0
"LOC109943803",9,6,4,12
"LOC109943804",0,0,0,1
"LOC103645634",7,1,4,10
"LOC100276501",874,338,990,4037
"LOC103644063",0,0,0,0
"LOC103644065",255,160,242,155
"LOC100281020",7578,17709,18336,8325
"LOC100273830",315,180,236,783
"LOC100382654",34,34,47,41
"LOC100273580",674,670,309,19
"LOC100194052",251,22,43,180
"aos4",0,8,1,0
"aos3",37,114,47,1
"LOC103644068",0,7,0,8
"LOC542099",2208,1697,1637,1715
"LOC100278000",629,174,217,590
"LOC103644069",227,126,236,687
"LOC103644071",69,22,1,0
"LOC100273910",128,151,136,82
"LOC732840",809,1937,3062,2243
"TRNAE-UUC_2",0,0,0,0
"LOC103644072",762,566,585,735
"LOC100282259",0,0,0,0
"LOC100275725",2208,2805,5167,4702
"LOC100277204",0,13,11,186
"LOC100191336",56,12,8,63
"LOC103644073",21,31,23,0
"LOC103644074",0,0,0,1
"LOC103645638",0,0,0,0
"LOC100217129",0,0,0,0
"LOC103644075",484,1001,654,288
"LOC112694684",0,0,0,0
"LOC100383269",3,0,2,0
"LOC109943805",0,3,0,0
"LOC103644077",0,0,0,0
"LOC103644078",2,0,0,1
"LOC109943806",0,0,0,0
"LOC103644079",0,0,0,0
"LOC111590707",0,0,0,0
"LOC606458",0,7,0,0
"LOC111590667",0,0,0,0
"LOC118476179",0,0,0,0
"LOC100281599",189,192,507,196
"LOC100274770",1280,563,692,1084
"LOC100276571",4,0,0,0
"LOC118473248",0,0,0,0
"LOC107197954",358,286,193,186
"LOC100192723",14,3,29,34
"LOC100280803",489,153,302,276
"LOC111590788",0,0,0,0
"LOC103645645",0,0,0,0
"LOC103645646",67,40,51,29
"LOC111590771",0,0,0,0
"LOC111590778",0,0,0,0
"LOC111590782",0,0,0,0
"LOC111590749",0,0,0,0
"LOC111590790",0,0,0,0
"LOC111590784",0,0,0,0
"LOC111590783",0,0,0,0
"LOC111590791",0,0,0,0
"LOC111590785",0,0,0,0
"LOC111590786",0,0,0,0
"LOC111590760",0,0,0,0
"TRNAQ-CUG_2",0,0,0,0
"LOC103645648",0,0,0,0
"LOC111590693",0,0,0,0
"LOC111590704",0,0,0,0
"LOC111590715",0,0,0,0
"LOC111590726",0,0,0,0
"TRNAQ-CUG_3",0,15,7,3
"LOC606465",456,628,493,553
"LOC111590573",19,0,0,0
"LOC103644082",0,0,0,0
"LOC100272304",77,23,43,131
"LOC103644083",16,2,40,55
"LOC100282134",4198,3363,3360,4340
"TRNAT-AGU_1",0,0,0,0
"LOC100283266",973,528,704,1484
"LOC100284660",5760,2998,3525,3485
"LOC103644086",0,0,0,0
"LOC103644087",0,0,0,0
"LOC100383751",123,194,181,73
"LOC103644088",2350,2874,3520,878
"LOC111828518",94,129,127,132
"LOC100273754",173,46,169,267
"LOC100194221",96,56,67,164
"LOC103644089",0,0,0,0
"LOC100272631",90,53,56,217
"LOC103644090",0,6,0,1
"LOC103644091",307,208,230,351
"LOC542313",4140,5518,6536,6082
"LOC100501564",532,853,927,282
"LOC103645653",0,0,0,0
"LOC103644093",0,0,0,0
"LOC103645654",0,0,2,3
"LOC103644098",8,4,6,0
"LOC103644094",0,0,8,5
"LOC100282065",182,52,274,209
"LOC118476180",0,9,0,0
"LOC103644100",0,0,0,0
"LOC118473250",0,0,0,0
"LOC118476181",0,0,0,0
"LOC111590705",0,0,0,0
"LOC111590616",0,0,0,0
"LOC100280103",13,2,2,73
"LOC100276394",9,4,7,131
"LOC100276901",130,13,34,128
"LOC103644106",339,165,297,642
"LOC100282027",8184,18947,21337,22343
"LOC103644108",0,0,0,0
"LOC103645659",0,0,0,0
"LOC103644109",0,0,0,0
"LOC103644110",0,0,0,0
"LOC118476182",0,0,0,0
"LOC115029014",0,0,0,0
"MIR160d",0,0,0,0
"TRNAV-AAC_4",0,0,2,0
"LOC100384229",813,607,1392,2510
"LOC109943555",26,16,14,32
"LOC100279354",19,13,28,14
"LOC103644116",0,0,0,0
"LOC103644115",0,7,2,0
"TRNAA-AGC_4",0,0,0,0
"LOC103644114",7,0,2,0
"LOC103644118",12,6,1,0
"LOC103644119",14,0,0,0
"TRNAA-AGC_5",0,0,0,0
"LOC103645664",0,0,0,0
"LOC100285312",0,9,0,24
"TRNAA-AGC_6",0,0,0,0
"LOC118476183",82,26,16,77
"LOC100217189",44,67,76,43
"LOC103644121",0,0,1,0
"TRNAA-AGC_7",0,0,0,0
"LOC103644122",0,0,0,0
"LOC103644123",0,0,0,1
"LOC109942424",0,0,0,0
"LOC100193831",149,76,136,355
"LOC100274056",328,1125,1101,561
"LOC100282761",844,403,346,221
"LOC103644127",0,0,0,0
"LOC100501392",197,95,119,147
"LOC103645671",0,1,0,0
"LOC103644128",0,0,0,0
"LOC103644129",38,0,8,26
"LOC103645672",0,0,0,0
"LOC100276724",0,0,0,0
"LOC103644130",1095,267,714,1633
"LOC100193533",34,11,20,34
"LOC103644131",0,0,2,43
"LOC100281970",559,294,278,655
"LOC100283467",889,2336,4428,1642
"LOC103644132",79,30,20,47
"LOC100384455",1,10,6,26
"LOC100277009",259,122,159,179
"LOC100284964",1111,1222,2293,1565
"LOC100191491",673,467,631,880
"LOC542713",317,185,239,442
"LOC100275982",372,203,238,756
"LOC111590763",0,0,0,0
"LOC111590764",0,0,0,0
"LOC109943807",0,0,1,0
"LOC103644134",0,0,0,0
"LOC103644135",0,0,0,0
"LOC103644138",0,2,1,0
"LOC100273403",690,370,676,1211
"LOC103644136",495,314,342,856
"LOC114711037",0,0,0,0
"LOC100281398",8,0,6,7
"LOC542734",2743,1656,1038,770
"LOC103644139",0,9,35,0
"LOC100283272",1184,1438,1195,1596
"LOC100274943",264,271,269,243
"LOC103644140",10,38,29,51
"LOC103644141",18,4,0,7
"LOC100384093",0,0,0,0
"LOC118476184",0,1,0,0
"LOC100501431",1013,963,1165,1710
"LOC103644142",2171,1136,1333,2370
"LOC100284409",800,881,795,484
"LOC100284036",21,56,40,12
"LOC100382437",1979,2259,2061,1965
"LOC100279967",0,0,0,0
"LOC100285778",34,9,18,85
"LOC118473251",9,0,0,0
"LOC112163624",0,0,2,0
"LOC103644146",966,658,998,666
"LOC100191430",529,1728,1516,351
"TRNAC-GCA_1",0,0,0,0
"TRNAC-GCA_2",0,0,0,0
"LOC103644148",0,0,3,0
"LOC100275635",333,223,279,389
"LOC109943808",0,0,0,0
"LOC103644149",0,0,12,0
"VP8",145,29,61,223
"LOC103644152",91,36,93,82
"LOC103644154",0,0,0,0
"LOC103644155",0,0,1,13
"AO1",331,459,333,325
"LOC103644157",5589,4089,2333,2041
"LOC103645681",1,0,2,2
"LOC111590696",0,0,0,0
"LOC103644159",15,1,1,0
"LOC103644160",0,0,1,0
"LOC103645682",0,0,0,0
"LOC103645683",0,0,0,0
"TRNAG-GCC_7",0,1,0,0
"TRNAG-GCC_8",0,0,0,0
"LOC100193357",107,27,81,196
"LOC100273191",442,190,296,534
"LOC100192539",682,863,1411,2296
"LOC100192052",1603,981,836,1468
"LOC100191420",71,89,161,31
"LOC103644161",705,354,464,805
"LOC100275300",179,62,102,301
"LOC111590679",0,0,0,0
"LOC100216913",224,71,266,426
"LOC118476185",0,0,0,0
"LOC118476186",0,0,0,0
"LOC103644165",0,0,0,0
"LOC103645686",0,0,0,0
"LOC542382",0,0,0,0
"LOC100286065",38,19,4,17
"LOC103644166",0,2,4,0
"LOC111590628",0,0,0,0
"LOC111590787",12,1,1,0
"LOC100281099",0,0,0,0
"LOC103644167",285,281,397,182
"LOC100284421",0,11,6,15
"LOC103644168",6,47,30,0
"LOC542220",1823,1214,834,3004
"LOC103644169",2420,1161,1102,1365
"LOC109943809",839,340,325,613
"LOC100285246",458,179,520,457
"LOC100381665",301,89,83,271
"LOC100278691",0,0,0,0
"LOC103644171",2234,1894,2089,3052
"LOC100274966",42,24,15,35
"LOC103644170",0,0,0,3
"LOC100273943",18,12,28,260
"LOC100285871",1053,1578,592,429
"LOC103644172",22,1,8,19
"LOC100282808",683,338,336,998
"LOC103644174",0,0,0,0
"LOC100216630",0,0,2,0
"LOC100283434",759,325,378,999
"LOC100281501",609,445,645,1082
"LOC126688387",1068,443,587,1043
"LOC115032962",0,0,2,0
"MIR167d",0,0,0,0
"LOC100384370",180,417,233,36
"LOC100192970",67,192,239,19
"LOC100285615",37,107,59,39
"LOC109943810",0,0,0,0
"LOC103645689",0,0,0,0
"LOC100282602",23,23,35,173
"LOC100191314",154,49,227,282
"LOC103644176",0,0,0,0
"LOC103644177",96,52,34,174
"LOC103644178",858,429,1108,887
"LOC103644179",0,0,0,0
"LOC109943811",0,0,0,0
"LOC100272397",444,166,110,230
"LOC103644180",742,667,899,1180
"LOC103644181",152,155,105,274
"LOC103644182",1301,1506,385,255
"LOC103644183",0,0,0,0
"LOC109943557",0,0,2,0
"LOC541855",168,293,300,495
"LOC100273163",780,454,183,311
"LOC109939199",0,0,11,34
"LOC542704",0,0,0,0
"LOC103644184",112,58,47,71
"LOC100381959",916,2009,520,49
"LOC103644185",0,2,0,0
"LOC100284587",118,14,39,172
"LOC100280819",147,359,209,13
"LOC100382545",45,29,44,14
"LOC118476187",0,0,0,0
"LOC103644186",0,0,0,0
"LOC103644187",0,0,0,0
"LOC103644188",6,3,17,29
"LOC100501785",0,0,0,0
"LOC100382582",703,295,755,1900
"LOC100282810",222,283,238,246
"LOC103644189",0,0,0,0
"LOC100278738",0,0,0,0
"LOC100276900",138,60,79,156
"LOC100191840",607,658,1032,1525
"LOC100281812",20,9,96,148
"LOC103644190",554,382,428,392
"LOC103644191",1057,656,485,349
"LOC100382147",673,340,1101,2859
"LOC100856910",2640,354,249,1486
"LOC100285267",1645,1083,922,1878
"LOC100284794",74,97,235,289
"LOC100192756",636,1331,804,201
"LOC100384848",126,17,48,140
"LOC100277083",1706,345,174,1030
"LOC100194043",471,253,484,481
"LOC103644195",3790,4865,6230,2625
"LOC103644196",313,144,221,331
"LOC100284039",134,110,79,103
"LOC100282952",1563,465,568,1958
"LOC100273333",0,0,0,0
"LOC103644198",0,0,2,0
"LOC109943558",0,0,0,0
"LOC103644199",250,1517,1031,93
"LOC100280943",501,268,343,464
"LOC103644200",2146,875,2062,2911
"LOC100192098",233,20,31,150
"LOC103644202",13,11,5,28
"LOC100275981",41,36,13,38
"LOC100285869",61,116,91,4
"LOC103644203",60,20,1,0
"LOC100273401",74,216,6,16
"LOC103644204",139,11,192,319
"LOC100191601",517,958,843,533
"LOC100381284",205,133,130,212
"LOC100217309",226,117,95,130
"LOC100194266",238,498,442,476
"LOC542696",698,519,637,756
"LOC100281867",623,126,164,634
"LOC100272252",635,540,346,344
"LOC100281213",946,1272,1076,899
"LOC100282703",299,96,170,220
"LOC606423",517,300,421,569
"LOC115208753",0,4,10,14
"LOC100381620",1106,1124,2078,484
"LOC103644205",63,43,81,88
"LOC100384355",1509,820,1026,1347
"LOC100278093",163,48,117,178
"LOC111590618",0,0,0,0
"LOC103644210",1122,763,739,1177
"LOC103644211",0,0,0,0
"LOC100281033",1030,573,857,1424
"LOC100272482",170,310,258,132
"LOC100193385",508,731,342,341
"LOC103644212",0,0,0,0
"LOC109943559",0,0,0,0
"LOC103644214",0,0,0,0
"LOC103644215",4,9,1522,1236
"LOC103645696",15,32,14,18
"LOC109943812",0,2,1,6
"LOC103645699",0,0,0,1
"LOC103645700",0,2,2,0
"LOC100191984",11129,32686,31028,30683
"LOC100279743",0,0,0,0
"LOC100277106",60,305,123,7
"LOC100383062",302,55,104,258
"LOC118476188",0,0,0,0
"LOC100381951",0,0,5,0
"LOC103644217",44,25,35,10
"LOC103644218",0,0,0,0
"LOC541803",1386,2282,4938,3654
"LOC103645703",320,190,409,577
"LOC100273279",5849,4742,5667,3615
"LOC103644219",0,9,6,13
"LOC100384285",100,12,25,179
"LOC100278800",260,164,315,527
"LOC103644220",0,0,5,1
"LOC100281687",1104,615,462,454
"LOC103644221",0,0,102,51
"LOC103644222",4160,2399,3752,5023
"LOC100275038",134,63,104,83
"LOC118471918",0,0,0,0
"LOC100502352",271,303,420,248
"LOC100284856",5,41,39,0
"LOC118476189",0,0,0,0
"LOC542187",20,16,11,2
"LOC100286088",35,8,24,28
"LOC100274247",0,0,1,9
"LOC100191645",699,549,665,1242
"LOC118476190",0,0,44,9
"LOC103644229",0,2,4,0
"LOC100283893",14,1,24,73
"LOC103644231",570,289,661,1114
"LOC103644232",482,172,302,382
"LOC103644233",0,2,0,0
"LOC100191364",515,557,750,480
"LOC100277603",24,169,71,11
"LOC103644237",1002,468,762,2138
"LOC103644236",0,3,1,13
"LOC100382466",405,148,275,627
"LOC103644238",0,0,0,0
"LOC103644240",0,0,0,0
"LOC111590639",0,0,0,0
"LOC103644241",0,12,50,54
"LOC100285461",0,0,0,0
"LOC100285058",283,281,721,327
"LOC100281422",301,340,421,656
"LOC100281981",21,12,20,83
"LOC100277618",119,31,26,110
"LOC100170665",218,251,132,108
"LOC541794",230,250,154,331
"TRNAL-CAA_2",0,0,0,0
"LOC100282540",1,1,269,278
"LOC100274429",42,1,39,41
"LOC100276216",131,85,216,337
"LOC103644244",1474,717,1388,1646
"LOC100193263",652,246,604,601
"LOC100382617",350,155,194,449
"LOC100277656",111,76,26,55
"LOC100279190",903,552,822,732
"LOC100282868",600,313,456,758
"LOC100280548",65,68,56,99
"LOC100284881",295,168,246,643
"LOC100191913",776,1195,1224,683
"LOC100272706",227,94,34,53
"LOC118476192",0,0,0,0
"MIR390a",0,0,0,0
"LOC103645709",2,3,0,1
"LOC103644246",2497,1967,2691,2084
"LOC100276249",0,0,0,0
"LOC100192747",181,68,113,257
"LOC103644248",222,105,198,323
"LOC541684",698,295,532,1192
"LOC100382637",606,155,264,717
"TRNAE-CUC_5",0,0,0,0
"LOC103644249",4,1,0,0
"LOC103644250",264,161,378,459
"LOC100282516",81,23,35,20
"LOC100276821",79,711,443,137
"LOC103644251",423,302,455,282
"LOC100272423",731,401,522,723
"LOC103645710",0,3,3,0
"LOC100193236",316,185,343,803
"LOC100284530",343,799,1274,194
"LOC107648850",1012,3074,1167,80
"LOC103644252",43,23,24,50
"LOC542445",6429,3576,5101,7107
"LOC103644253",0,0,0,0
"LOC103645711",0,0,0,0
"TRNAV-AAC_5",0,0,0,0
"LOC100192675",193,209,300,382
"LOC100285414",289,72,134,426
"LOC100275540",323,216,97,78
"LOC111590619",0,0,0,0
"LOC103644255",0,0,0,0
"LOC103644254",10,4,4,0
"LOC103644256",2710,3839,3496,820
"LOC103645712",0,0,1,0
"LOC100273013",476,203,100,355
"LOC100279389",207,81,142,357
"LOC107325939",43,41,33,38
"LOC103644258",547,249,392,509
"LOC100282579",1310,2690,3969,2434
"LOC103644257",18,23,19,20
"LOC100279983",528,207,197,360
"LOC100217267",115,155,179,312
"LOC100217134",52,59,54,137
"LOC103645715",0,0,0,0
"LOC103645716",0,0,0,0
"LOC103644259",184,85,211,352
"LOC100281445",298,264,596,193
"LOC103644260",23,9,2,30
"LOC103644262",3660,2868,2132,3764
"LOC100191709",133,614,230,19
"LOC100216670",206,146,109,183
"LOC100280558",215,106,100,221
"LOC100284030",19,14,9,0
"LOC100278120",59,28,93,234
"LOC103644263",0,16,32,35
"LOC100272978",264,141,192,539
"LOC103644264",0,0,0,0
"LOC103644270",0,0,0,0
"LOC103644267",0,0,0,0
"LOC109943308",0,0,0,0
"LOC118476193",0,0,0,0
"LOC103644268",0,0,0,0
"LOC100384415",0,0,0,0
"LOC111347717",86,36,97,175
"LOC100286004",61,30,13,3
"LOC111590748",0,0,0,0
"LOC103645718",0,0,0,0
"LOC109943813",0,0,0,0
"LOC103644276",0,0,0,0
"LOC109943562",185,263,240,339
"LOC109942528",0,0,0,0
"LOC100285900",141,48,119,136
"LOC100284988",109,295,201,132
"LOC109943563",0,0,0,0
"LOC103645720",939,502,473,987
"LOC100277817",0,0,0,0
"LOC100278591",0,0,0,0
"LOC100281325",5308,12491,9683,3162
"LOC100279720",38,13,32,12
"LOC103644278",0,0,0,0
"LOC100282627",385,127,134,554
"LOC103644279",88,177,225,94
"LOC103644282",73,63,108,42
"LOC100285723",2904,1047,1491,2666
"LOC100277322",350,955,744,520
"LOC103645721",0,0,0,0
"LOC100193746",223,65,87,321
"LOC100216718",806,307,455,297
"LOC100279997",426,273,373,324
"RH3B",5058,5804,12856,8798
"LOC100275098",22,7,3,0
"LOC103644285",8,0,0,22
"LOC100284921",2321,6325,6715,2791
"LOC100193647",8754,161,339,754
"LOC100272576",420,263,328,319
"LOC100285112",17,22,18,35
"TRNAL-AAG_2",0,0,0,0
"LOC100193588",8,3,14,11
"sbp17",2280,2032,2723,2294
"LOC103644286",0,0,0,0
"LOC100281851",9,3,10,0
"LOC100284953",2393,870,1342,3383
"LOC103644287",14,14,14,58
"LOC103644289",17,4,10,6
"LOC103644288",80,91,426,299
"LOC100283350",68,94,101,68
"LOC100283765",703,1294,2115,1415
"LOC100283845",460,206,224,592
"LOC103644292",0,1,9,0
"LOC100277686",0,0,0,0
"CNR7",669,721,36,15
"LOC100283258",5,0,0,0
"LOC100281334",0,0,0,0
"LOC100191998",177,91,223,324
"LOC100276694",205,76,156,240
"LOC100272386",123,76,161,147
"LOC100193394",14,627,238,0
"LOC118476194",0,19,1,0
"LOC103644295",290,145,232,179
"LOC103644294",208,56,47,70
"LOC100191322",1932,478,1713,5699
"LOC100285710",740,343,212,704
"LOC100384139",287,210,223,408
"LOC542276",3321,1433,1498,3386
"LOC100273404",873,509,619,879
"LOC100284431",121,25,26,50
"LOC103645723",992,1178,2086,1596
"LOC103644297",1,1,0,0
"LOC100283145",1303,444,803,1235
"LOC103644296",232,73,331,223
"LOC541804",4338,6101,9361,6472
"LOC103644298",845,428,889,1502
"LOC103644300",0,3,4,0
"LOC103644299",0,0,0,1
"LOC103644301",0,0,0,0
"LOC103644302",0,0,0,0
"LOC100285098",52,26,72,58
"LOC100274271",1624,790,1111,1278
"LOC100276339",0,3,3,0
"LOC103645724",386,761,978,229
"TRNAQ-UUG",0,0,0,0
"LOC103644303",519,206,284,275
"LOC123653338",879,318,14,76
"LOC100272501",1399,1293,1672,1196
"LOC100193852",147,173,218,282
"LOC103644305",0,0,0,0
"LOC100275626",6,65,33,16
"LOC100191422",30,26,38,82
"LOC103644306",959,392,1016,806
"TRNAV-AAC_6",0,0,0,0
"LOC100277004",692,315,371,663
"TRNAS-CGA",0,0,0,0
"LOC541818",170,103,230,277
"LOC100280986",118,79,109,79
"LOC100216675",119,42,93,97
"LOC100279605",284,257,383,383
"LOC100383566",192,124,129,262
"LOC113561368",21,1,3,0
"LOC113561369",14,3,0,0
"LOC100279063",36,12,5,2
"LOC100217107",581,637,917,1220
"LOC100286182",720,277,390,1039
"LOC111590620",0,0,0,0
"LOC100191638",685,478,954,1460
"LOC100382451",1018,2951,4398,2430
"LOC100282822",390,120,123,312
"LOC103644312",0,6,12,29
"LOC100383413",741,399,751,790
"LOC103644313",0,0,0,0
"LOC103644316",0,0,0,0
"LOC103644317",568,288,618,999
"LOC100280315",669,336,425,669
"LOC103644319",0,0,0,0
"LOC732821",948,902,1057,1114
"LOC100191771",12,18,13,24
"LOC103644320",0,0,0,0
"LOC109943565",0,0,0,0
"LOC100384854",0,0,1,0
"LOC100272462",13,1,4,16
"LOC100216602",451,193,323,777
"LOC100272618",699,211,309,795
"LOC100381906",1696,778,1209,1797
"LOC118476195",5,2,53,75
"LOC100284950",393,1234,1001,562
"LOC100193073",1288,891,480,326
"LOC103645732",0,0,0,0
"LOC103644323",93,149,353,793
"LOC100279572",896,461,1109,1454
"LOC100272250",900,479,773,1796
"LOC103644324",1216,913,1851,1064
"LOC100281859",37,184,154,113
"LOC100275628",53,135,169,205
"LOC100272946",4266,900,1279,4235
"LOC100283696",0,2,1,0
"LOC100273803",79,44,24,58
"LOC100383630",28,23,7,83
"LOC100274299",0,0,0,13
"LOC109943814",0,9,2,5
"LOC100194166",12,0,12,65
"MIR169l",0,0,0,15
"LOC111590575",0,0,0,0
"LOC100284329",5,7,8,53
"LOC103644325",88,269,267,66
"LOC100191639",1008,482,1374,2592
"LOC100277542",312,302,400,353
"LOC100193616",553,172,383,426
"LOC100273405",249,89,208,256
"LOC100284171",569,579,778,912
"LOC100273115",346,191,208,406
"LOC114574136",29,6,34,41
"LOC100281219",431,234,129,464
"LOC103644327",3,0,4,0
"LOC100273721",131,66,122,356
"LOC100273171",193,46,79,593
"LOC100272888",3793,6742,7452,4622
"LOC100501159",478,257,438,263
"LOC100191171",277,119,201,563
"LOC100284376",638,401,510,820
"LOC100285563",937,1100,1381,863
"LOC100275095",0,2,0,6
"LOC103644328",11,4,0,0
"LOC606472",355,169,158,1098
"LOC103644329",146,66,89,114
"LOC100281132",186,92,151,21
"LOC103644330",23,1,3,4
"LOC100279987",153,74,231,352
"LOC103644331",7,67,72,12
"LOC100274821",27,31,112,60
"LOC103644332",128,80,194,217
"LOC100279794",283,72,80,265
"LOC100273845",181,97,268,253
"LOC100383127",90,73,107,145
"LOC100191606",410,170,172,602
"LOC100273077",484,159,417,1061
"LOC100191272",565,479,766,1141
"LOC100283460",3,0,0,0
"LOC100382679",610,1107,776,658
"LOC100275986",0,0,0,0
"LOC100191385",106,269,498,301
"LOC100193319",285,197,145,321
"LOC100281554",174,73,215,327
"LOC103644335",0,0,0,0
"LOC541867",1261,479,695,1286
"LOC100284918",1188,963,2649,8112
"LOC778427",42,1,1,112
"LOC100273908",8461,10494,14677,13275
"LOC100284547",0,1,0,2
"LOC118476196",0,0,0,0
"LOC109939258",324,164,248,205
"LOC103644339",0,0,22,19
"LOC103644338",0,0,0,0
"LOC118476197",0,0,2,1
"LOC100384227",1823,796,1435,1479
"LOC100382756",373,162,298,634
"LOC100284465",24,10,84,242
"LOC100192744",27,447,255,30
"LOC100384071",58,30,28,56
"LOC100194127",16,71,78,154
"LOC100281701",1870,978,1984,4346
"LOC100384381",0,0,0,5
"LOC103644340",0,0,0,4
"LOC100285390",0,0,0,0
"LOC100281894",7,128,4,0
"LOC103644343",4,1,0,0
"LOC103644344",92,78,123,137
"LOC109943815",0,0,0,16
"LOC109943568",0,0,2,11
"LOC100285229",922,618,727,1076
"LOC103644350",80,291,243,187
"LOC103644349",135,305,532,487
"LOC103644348",15,13,49,22
"LOC103644347",16,10,15,5
"LOC103644346",4335,10079,11986,8020
"LOC100285763",807,192,589,1867
"LOC103644352",0,0,0,0
"LOC100502270",41,73,106,40
"LOC100282248",1046,873,971,1515
"LOC114669714",0,0,0,0
"LOC100384298",509,670,805,743
"LOC100278975",128,229,242,127
"LOC100275216",11,78,0,60
"LOC100283418",26,9,14,11
"LOC100281304",931,437,470,1019
"LOC103645741",3,0,0,0
"LOC103645742",0,0,0,0
"LOC100284752",356,226,244,705
"LOC100279439",13,4,14,10
"LOC103644362",636,548,665,676
"LOC103644364",5,3,7,12
"LOC101027256",806,533,614,925
